"ID","Site","UnitID","StartingAddress","Size","CombinedHex","DecodedValue"
"Snow Depth","192.168.12.73",3,3174,2,"'00000000",0
"Row Locked","192.168.12.73",3,3176,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"======================Position: 7 | DeviceType: Unknown ======================","","","","","",""
"Device Type","192.168.12.73",3,3584,8,"'00000000000000000000000000000000",""
"Last Reported","192.168.12.73",3,3592,4,"'0000000000000000","0"
"Model Number","192.168.12.73",3,3596,8,"'00000000000000000000000000000000",""
"HW Rev","192.168.12.73",3,3604,8,"'4E6F6E65000000000000000000000000","None"
"FW Rev","192.168.12.73",3,3612,8,"'00000000000000000000000000000000",""
"Uptime","192.168.12.73",3,3620,2,"'00000000",0
"SNAP Addr","192.168.12.73",3,3622,2,"'00000000","0x00000000"
"RSSI","192.168.12.73",3,3624,1,"'0000",0
"Has WX Sensor","192.168.12.73",3,3625,1,"'0000",0
"Has Tracker HW","192.168.12.73",3,3626,1,"'0000",0
"Location Text","192.168.12.73",3,3627,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"Latitude","192.168.12.73",3,3643,2,"'00000000",0
"Longitude","192.168.12.73",3,3645,2,"'00000000",0
"Config Flags","192.168.12.73",3,3647,2,"'00000000",0
"Battery Voltage","192.168.12.73",3,3649,2,"'00000000",0
"Battery Current","192.168.12.73",3,3651,2,"'00000000",0
"Battery Charged","192.168.12.73",3,3653,1,"'0000",0
"Battery Health","192.168.12.73",3,3654,1,"'0000",0
"Charger Voltage","192.168.12.73",3,3655,2,"'00000000",0
"Charger Current","192.168.12.73",3,3657,2,"'00000000",0
"Solar Voltage","192.168.12.73",3,3659,2,"'00000000",0
"Solar Current","192.168.12.73",3,3661,2,"'00000000",0
"Controller Status","192.168.12.73",3,3663,2,"'00000000",0
"Tracking Status","192.168.12.73",3,3665,1,"'0000",0
"Current Angle","192.168.12.73",3,3666,2,"'00000000",0
"Requested Angle","192.168.12.73",3,3668,2,"'00000000",0
"Motor Power (Prev Hr)","192.168.12.73",3,3670,2,"'00000000",0
"Angular Error (Prev Hr)","192.168.12.73",3,3672,2,"'00000000",0
"Wind Speed","192.168.12.73",3,3674,2,"'00000000",0
"Wind Direction","192.168.12.73",3,3676,2,"'00000000",0
