"ID","Site","UnitID","StartingAddress","Size","CombinedHex","DecodedValue"
"SNAP Addr","192.168.12.73",1,3110,2,"'00000000","0x00000000"
"RSSI","192.168.12.73",1,3112,1,"'0000",0
"Has WX Sensor","192.168.12.73",1,3113,1,"'0000",0
"Has Tracker HW","192.168.12.73",1,3114,1,"'0000",0
"Location Text","192.168.12.73",1,3115,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"Latitude","192.168.12.73",1,3131,2,"'00000000",0
"Longitude","192.168.12.73",1,3133,2,"'00000000",0
"Config Flags","192.168.12.73",1,3135,2,"'00000000",0
"Battery Voltage","192.168.12.73",1,3137,2,"'00000000",0
"Battery Current","192.168.12.73",1,3139,2,"'00000000",0
"Battery Charged","192.168.12.73",1,3141,1,"'0000",0
"Battery Health","192.168.12.73",1,3142,1,"'0000",0
"Charger Voltage","192.168.12.73",1,3143,2,"'00000000",0
"Charger Current","192.168.12.73",1,3145,2,"'00000000",0
"Solar Voltage","192.168.12.73",1,3147,2,"'00000000",0
"Solar Current","192.168.12.73",1,3149,2,"'00000000",0
"Controller Status","192.168.12.73",1,3151,2,"'00000000",0
"Tracking Status","192.168.12.73",1,3153,1,"'0000",0
"Current Angle","192.168.12.73",1,3154,2,"'00000000",0
"Requested Angle","192.168.12.73",1,3156,2,"'00000000",0
"Motor Power (Prev Hr)","192.168.12.73",1,3158,2,"'00000000",0
"Angular Error (Prev Hr)","192.168.12.73",1,3160,2,"'00000000",0
"Wind Speed","192.168.12.73",1,3162,2,"'00000000",0
"Wind Direction","192.168.12.73",1,3164,2,"'00000000",0
"Avg Wind Speed","192.168.12.73",1,3166,2,"'00000000",0
"Peak Wind Speed","192.168.12.73",1,3168,2,"'00000000",0
"Snow Temp","192.168.12.73",1,3170,2,"'00000000",0
"Snow Distance","192.168.12.73",1,3172,2,"'00000000",0
"Snow Depth","192.168.12.73",1,3174,2,"'00000000",0
"Row Locked","192.168.12.73",1,3176,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"======================Position: 7 | DeviceType: Unknown ======================","","","","","",""
"Device Type","192.168.12.73",1,3584,8,"'00000000000000000000000000000000",""
"Last Reported","192.168.12.73",1,3592,4,"'0000000000000000","0"
"Model Number","192.168.12.73",1,3596,8,"'00000000000000000000000000000000",""
"HW Rev","192.168.12.73",1,3604,8,"'4E6F6E65000000000000000000000000","None"
"FW Rev","192.168.12.73",1,3612,8,"'00000000000000000000000000000000",""
"Uptime","192.168.12.73",1,3620,2,"'00000000",0
"SNAP Addr","192.168.12.73",1,3622,2,"'00000000","0x00000000"
"RSSI","192.168.12.73",1,3624,1,"'0000",0
"Has WX Sensor","192.168.12.73",1,3625,1,"'0000",0
"Has Tracker HW","192.168.12.73",1,3626,1,"'0000",0
"Location Text","192.168.12.73",1,3627,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"Latitude","192.168.12.73",1,3643,2,"'00000000",0
"Longitude","192.168.12.73",1,3645,2,"'00000000",0
"Config Flags","192.168.12.73",1,3647,2,"'00000000",0
"Battery Voltage","192.168.12.73",1,3649,2,"'00000000",0
"Battery Current","192.168.12.73",1,3651,2,"'00000000",0
"Battery Charged","192.168.12.73",1,3653,1,"'0000",0
"Battery Health","192.168.12.73",1,3654,1,"'0000",0
"Charger Voltage","192.168.12.73",1,3655,2,"'00000000",0
"Charger Current","192.168.12.73",1,3657,2,"'00000000",0
"Solar Voltage","192.168.12.73",1,3659,2,"'00000000",0
"Solar Current","192.168.12.73",1,3661,2,"'00000000",0
"Controller Status","192.168.12.73",1,3663,2,"'00000000",0
"Tracking Status","192.168.12.73",1,3665,1,"'0000",0
"Current Angle","192.168.12.73",1,3666,2,"'00000000",0
"Requested Angle","192.168.12.73",1,3668,2,"'00000000",0
"Motor Power (Prev Hr)","192.168.12.73",1,3670,2,"'00000000",0
"Angular Error (Prev Hr)","192.168.12.73",1,3672,2,"'00000000",0
"Wind Speed","192.168.12.73",1,3674,2,"'00000000",0
"Wind Direction","192.168.12.73",1,3676,2,"'00000000",0
"Avg Wind Speed","192.168.12.73",1,3678,2,"'00000000",0
"Peak Wind Speed","192.168.12.73",1,3680,2,"'00000000",0
"Snow Temp","192.168.12.73",1,3682,2,"'00000000",0
"Snow Distance","192.168.12.73",1,3684,2,"'00000000",0
"Snow Depth","192.168.12.73",1,3686,2,"'00000000",0
"Row Locked","192.168.12.73",1,3688,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"======================Position: 8 | DeviceType: Unknown ======================","","","","","",""
"Device Type","192.168.12.73",1,4096,8,"'00000000000000000000000000000000",""
"Last Reported","192.168.12.73",1,4104,4,"'0000000000000000","0"
"Model Number","192.168.12.73",1,4108,8,"'00000000000000000000000000000000",""
"HW Rev","192.168.12.73",1,4116,8,"'4E6F6E65000000000000000000000000","None"
"FW Rev","192.168.12.73",1,4124,8,"'00000000000000000000000000000000",""
"Uptime","192.168.12.73",1,4132,2,"'00000000",0
"SNAP Addr","192.168.12.73",1,4134,2,"'00000000","0x00000000"
"RSSI","192.168.12.73",1,4136,1,"'0000",0
"Has WX Sensor","192.168.12.73",1,4137,1,"'0000",0
"Has Tracker HW","192.168.12.73",1,4138,1,"'0000",0
"Location Text","192.168.12.73",1,4139,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"Latitude","192.168.12.73",1,4155,2,"'00000000",0
"Longitude","192.168.12.73",1,4157,2,"'00000000",0
"Config Flags","192.168.12.73",1,4159,2,"'00000000",0
"Battery Voltage","192.168.12.73",1,4161,2,"'00000000",0
"Battery Current","192.168.12.73",1,4163,2,"'00000000",0
"Battery Charged","192.168.12.73",1,4165,1,"'0000",0
"Battery Health","192.168.12.73",1,4166,1,"'0000",0
"Charger Voltage","192.168.12.73",1,4167,2,"'00000000",0
"Charger Current","192.168.12.73",1,4169,2,"'00000000",0
"Solar Voltage","192.168.12.73",1,4171,2,"'00000000",0
"Solar Current","192.168.12.73",1,4173,2,"'00000000",0
"Controller Status","192.168.12.73",1,4175,2,"'00000000",0
"Tracking Status","192.168.12.73",1,4177,1,"'0000",0
"Current Angle","192.168.12.73",1,4178,2,"'00000000",0
"Requested Angle","192.168.12.73",1,4180,2,"'00000000",0
"Motor Power (Prev Hr)","192.168.12.73",1,4182,2,"'00000000",0
"Angular Error (Prev Hr)","192.168.12.73",1,4184,2,"'00000000",0
"Wind Speed","192.168.12.73",1,4186,2,"'00000000",0
"Wind Direction","192.168.12.73",1,4188,2,"'00000000",0
"Avg Wind Speed","192.168.12.73",1,4190,2,"'00000000",0
"Peak Wind Speed","192.168.12.73",1,4192,2,"'00000000",0
"Snow Temp","192.168.12.73",1,4194,2,"'00000000",0
"Snow Distance","192.168.12.73",1,4196,2,"'00000000",0
"Snow Depth","192.168.12.73",1,4198,2,"'00000000",0
"Row Locked","192.168.12.73",1,4200,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"======================Position: 9 | DeviceType: Unknown ======================","","","","","",""
"Device Type","192.168.12.73",1,4608,8,"'00000000000000000000000000000000",""
"Last Reported","192.168.12.73",1,4616,4,"'0000000000000000","0"
"Model Number","192.168.12.73",1,4620,8,"'00000000000000000000000000000000",""
"HW Rev","192.168.12.73",1,4628,8,"'4E6F6E65000000000000000000000000","None"
"FW Rev","192.168.12.73",1,4636,8,"'00000000000000000000000000000000",""
"Uptime","192.168.12.73",1,4644,2,"'00000000",0
"SNAP Addr","192.168.12.73",1,4646,2,"'00000000","0x00000000"
"RSSI","192.168.12.73",1,4648,1,"'0000",0
"Has WX Sensor","192.168.12.73",1,4649,1,"'0000",0
"Has Tracker HW","192.168.12.73",1,4650,1,"'0000",0
"Location Text","192.168.12.73",1,4651,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"Latitude","192.168.12.73",1,4667,2,"'00000000",0
"Longitude","192.168.12.73",1,4669,2,"'00000000",0
"Config Flags","192.168.12.73",1,4671,2,"'00000000",0
"Battery Voltage","192.168.12.73",1,4673,2,"'00000000",0
"Battery Current","192.168.12.73",1,4675,2,"'00000000",0
"Battery Charged","192.168.12.73",1,4677,1,"'0000",0
"Battery Health","192.168.12.73",1,4678,1,"'0000",0
"Charger Voltage","192.168.12.73",1,4679,2,"'00000000",0
"Charger Current","192.168.12.73",1,4681,2,"'00000000",0
"Solar Voltage","192.168.12.73",1,4683,2,"'00000000",0
"Solar Current","192.168.12.73",1,4685,2,"'00000000",0
"Controller Status","192.168.12.73",1,4687,2,"'00000000",0
"Tracking Status","192.168.12.73",1,4689,1,"'0000",0
"Current Angle","192.168.12.73",1,4690,2,"'00000000",0
"Requested Angle","192.168.12.73",1,4692,2,"'00000000",0
"Motor Power (Prev Hr)","192.168.12.73",1,4694,2,"'00000000",0
"Angular Error (Prev Hr)","192.168.12.73",1,4696,2,"'00000000",0
"Wind Speed","192.168.12.73",1,4698,2,"'00000000",0
"Wind Direction","192.168.12.73",1,4700,2,"'00000000",0
"Avg Wind Speed","192.168.12.73",1,4702,2,"'00000000",0
"Peak Wind Speed","192.168.12.73",1,4704,2,"'00000000",0
"Snow Temp","192.168.12.73",1,4706,2,"'00000000",0
"Snow Distance","192.168.12.73",1,4708,2,"'00000000",0
"Snow Depth","192.168.12.73",1,4710,2,"'00000000",0
"Row Locked","192.168.12.73",1,4712,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
