"TTID","ID","Site","UnitID","StartingAddress","Size","CombinedHex","DecodedValue"
577,"SNAP Addr","192.168.12.73",6,38950,2,"'00","0x00"
577,"RSSI","192.168.12.73",6,38952,1,"'0000",0
577,"Has WX Sensor","192.168.12.73",6,38953,1,"'0000",0
577,"Has Tracker HW","192.168.12.73",6,38954,1,"'0000",0
577,"Location Text","192.168.12.73",6,38955,16,"'00",""
577,"Latitude","192.168.12.73",6,38971,2,"'00000000",0
577,"Longitude","192.168.12.73",6,38973,2,"'00000000",0
577,"Config Flags","192.168.12.73",6,38975,2,"'00000000",0
577,"Battery Voltage","192.168.12.73",6,38977,2,"'00000000",0
577,"Battery Current","192.168.12.73",6,38979,2,"'00000000",0
577,"Battery Charged","192.168.12.73",6,38981,1,"'0000",0
577,"Battery Health","192.168.12.73",6,38982,1,"'0000",0
577,"Charger Voltage","192.168.12.73",6,38983,2,"'00000000",0
577,"Charger Current","192.168.12.73",6,38985,2,"'00000000",0
577,"Solar Voltage","192.168.12.73",6,38987,2,"'00000000",0
577,"Solar Current","192.168.12.73",6,38989,2,"'00000000",0
577,"Controller Status","192.168.12.73",6,38991,2,"'00000000",0
577,"Tracking Status","192.168.12.73",6,38993,1,"'0000",0
577,"Current Angle","192.168.12.73",6,38994,2,"'00000000",0
577,"Requested Angle","192.168.12.73",6,38996,2,"'00000000",0
577,"Motor Power (Prev Hr)","192.168.12.73",6,38998,2,"'00000000",0
577,"Angular Error (Prev Hr)","192.168.12.73",6,39000,2,"'00000000",0
577,"Wind Speed","192.168.12.73",6,39002,2,"'00000000",0
577,"Wind Direction","192.168.12.73",6,39004,2,"'00000000",0
577,"Avg Wind Speed","192.168.12.73",6,39006,2,"'00000000",0
577,"Peak Wind Speed","192.168.12.73",6,39008,2,"'00000000",0
577,"Snow Temp","192.168.12.73",6,39010,2,"'00000000",0
577,"Snow Distance","192.168.12.73",6,39012,2,"'00000000",0
577,"Snow Depth","192.168.12.73",6,39014,2,"'00000000",0
577,"Row Locked","192.168.12.73",6,39016,1,"'0000",0
599,"Device Type","192.168.12.73",6,50176,8,"'00",""
599,"Last Reported","192.168.12.73",6,50184,4,"'0000000000000000","0"
599,"Model Number","192.168.12.73",6,50188,8,"'00",""
599,"HW Rev","192.168.12.73",6,50196,8,"'4E6F6E65000000000000000000000000","None"
599,"FW Rev","192.168.12.73",6,50204,8,"'00",""
599,"Uptime","192.168.12.73",6,50212,2,"'00000000",0
599,"SNAP Addr","192.168.12.73",6,50214,2,"'00","0x00"
599,"RSSI","192.168.12.73",6,50216,1,"'0000",0
599,"Has WX Sensor","192.168.12.73",6,50217,1,"'0000",0
599,"Has Tracker HW","192.168.12.73",6,50218,1,"'0000",0
599,"Location Text","192.168.12.73",6,50219,16,"'00",""
599,"Latitude","192.168.12.73",6,50235,2,"'00000000",0
599,"Longitude","192.168.12.73",6,50237,2,"'00000000",0
599,"Config Flags","192.168.12.73",6,50239,2,"'00000000",0
599,"Battery Voltage","192.168.12.73",6,50241,2,"'00000000",0
599,"Battery Current","192.168.12.73",6,50243,2,"'00000000",0
599,"Battery Charged","192.168.12.73",6,50245,1,"'0000",0
599,"Battery Health","192.168.12.73",6,50246,1,"'0000",0
599,"Charger Voltage","192.168.12.73",6,50247,2,"'00000000",0
599,"Charger Current","192.168.12.73",6,50249,2,"'00000000",0
